"simulationID","time","B._vulgatus","B._uniformis","B._fragilis_spp","B._thetaiotaomicron","B._hansenii","C._ramosum","L._gasseri","E._rectale","B._crossotus","H._parainfluenzae","P._copri","P._melaninogenica","B._adolescentis","E._lenta","F._nucleatum_subsp._nucleatum","C._bolteae","B._longum_subsp._longum","F._nucleatum_subsp._animalis","C._perfringens_S107","D._piger","C._saccharolyticum","S._salivarius","A._odontolyticus","E._siraeum","L._paracasei","B._animalis_subsp._lactis_spp","R._gnavus","C._comes","E._coli_spp","C._difficile","L._lactis","L._plantarum","S._typhimurium_spp","V._cholerae_spp","Count_survivors","Fraction_survivors_correctly_predicted"
21,432,4.03738505580334e-10,2.18690696963926e-07,1.74999406903318e-09,3.22946736552736e-08,5.00640999687197e-05,3.19449855470796e-09,2.20756485630171e-10,4.73389467223279e-09,5.5862816818318e-09,6.81061788321802e-09,4.63664201327816e-09,2.16948656013057e-09,4.96643355872227e-10,2.31263585691871e-10,4.25044530446541e-09,5.65274933950076e-09,1.99071659935675e-10,4.24935405813776e-09,2.12095878525134e-10,0,7.27826330544568e-10,5.14063448962805e-07,2.50357691268373e-10,1.57695216507703e-09,8.02275036811071e-11,2.7275932519221e-10,2.38428854206774e-10,1.57912289124353e-09,0.817648520373156,2.16917213242341e-09,2.63646381524855e-10,8.25134686273516e-11,0.0320839860757869,0.150216612363729,1,0.25
22,432,1.33158424137147e-08,0.0010188032941396,0.127370552648105,0.000941568072067705,1.16795410845197e-07,1.90773778519389e-07,8.33864359192878e-09,9.87124586105213e-08,1.33129857243854e-07,1.68298404273098e-07,1.00630908346832e-07,4.73502990425696e-08,5.36852269798873e-09,8.97577397055802e-09,7.38108733509608e-08,1.36943593068366e-07,7.06121903075481e-09,1.14425463429689e-07,2.60657528319645e-09,0,1.76910394583319e-08,0.231337141282571,8.0464945940305e-09,3.91660048949889e-08,7.20830919013683e-10,1.25830938803258e-09,9.85961816227715e-09,3.70748416105973e-08,0.0841386057962608,2.79683327753343e-08,8.29443995204605e-09,3.94004140612214e-09,0.458878175824142,0.0963137725251368,2,0.5
23,432,4.87144940462574e-15,7.29290446287134e-14,0.998986585244877,9.18524760804569e-08,0.000979392043155578,1.11672868939734e-13,8.92139211745545e-16,4.56762498765461e-14,5.58381490432272e-14,5.77322947424441e-14,4.23978440716169e-14,2.15756046696068e-14,3.17735611275952e-15,1.5876668977426e-15,3.25372049713891e-14,6.15537156042191e-14,1.33139496365571e-15,4.11681539627864e-14,2.77059892660418e-15,0,7.15029638661963e-15,5.20232397083276e-09,3.0575971631959e-15,2.15768723964122e-14,3.99997357940921e-16,4.51606053211524e-15,1.8021188570933e-14,1.52072319832164e-14,5.38848077367285e-08,1.03541117765375e-14,7.32888765657928e-15,3.26332959104357e-16,5.43095324344083e-06,2.84408184702106e-05,1,0.25
24,432,6.53526880156395e-12,0.00313028127107061,0.941550942807709,6.5402854369665e-11,1.02122814445469e-06,4.29763250923376e-11,1.89549803400837e-11,6.45644341456373e-11,8.79356439684133e-11,1.21924707689975e-10,6.89036072011539e-11,3.5469408825103e-11,6.19800853484471e-12,2.64132464486174e-12,6.55689555166711e-11,9.16527730858454e-11,3.24385323887396e-12,5.52405276052543e-11,4.29343683128995e-12,0,1.117699923904e-11,9.53405975845306e-06,5.11102431313257e-12,2.7029046798096e-11,3.38838087397279e-12,6.03622439873955e-12,1.30745016584376e-12,2.65044070143805e-11,0.00634878511343467,1.61792398995744e-11,6.35684608351141e-12,3.58341912545536e-13,0.0487037480470317,0.000255686627897738,2,0.5
25,432,2.16733593641797e-11,0.000702733900721626,0.885631857046018,1.8583019382388e-05,9.05261381572433e-08,7.36557838444103e-10,5.24725668743794e-11,2.26123556796044e-10,3.6506694204633e-10,4.20020494007895e-10,2.67968784967933e-10,1.22341510183794e-10,2.07508964677678e-11,1.05827508641884e-11,2.41909328791013e-10,3.215964534786e-10,1.62450536300533e-11,2.61730256034105e-10,1.36511362489148e-11,0,4.6251831764522e-11,1.13831255189723e-06,2.96774910371565e-11,1.06316333338471e-10,5.71238863952143e-12,1.23281798930368e-11,7.8479579392231e-11,1.04347894303488e-10,4.29973555646345e-05,7.66045189834873e-11,3.42424988797518e-11,1.26010265723901e-11,0.00223383134791562,0.111368764886455,1,0.25
26,432,5.62048664695597e-13,3.44993675755511e-08,9.69005258805582e-07,4.39634637791682e-11,2.38449748725453e-11,4.91758987949667e-12,4.32658630911109e-13,4.08267658612274e-12,5.67706510221951e-12,6.64707058963538e-12,4.60861824773005e-12,2.16817616259541e-12,4.44394152697299e-13,2.52862941491645e-13,3.49186185449754e-12,5.10135023023595e-12,3.40807762344306e-13,3.57386324491097e-12,2.28140044894057e-13,0,7.83934901155277e-13,1.05667554624239e-07,1.82009348479271e-13,1.76327658816246e-12,2.48488065887596e-13,3.15810379682625e-13,4.89330899982037e-13,1.65225801273769e-12,0.000113206005166204,1.90194303615614e-12,3.14749813312679e-13,6.08252211194586e-15,6.55379835695909e-06,0.9998791309063,0,0
27,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
28,432,5.04641165465546e-08,0.00418412275538353,0.00227175809897705,0.26270806090746,0.0114362633114676,2.19745865248415e-06,5.61936781991991e-08,7.60342925013795e-07,8.90754569223273e-07,1.22304919579073e-06,7.45388652932281e-07,3.02802233599165e-07,7.7376054521656e-08,4.16967633017677e-08,3.8866812898151e-07,8.58968232788138e-07,2.17087623058656e-08,7.17843516383609e-07,4.33044462330241e-08,0,1.13977996817448e-07,9.55615031072915e-05,3.80745056916874e-08,2.16790073364532e-07,7.2095817096434e-09,3.48397620017892e-08,1.22163049192852e-07,2.74429482734894e-07,0.493578921228368,1.71125626913405e-07,7.16365612910389e-08,1.74500229761157e-09,0.225714950587968,9.33595698611602e-07,1,0.25
29,432,9.35925783350799e-11,1.16128761482901e-07,0.00302934429235194,3.91732152647677e-06,0.00396282526590594,1.80779510662996e-09,5.32421810419998e-11,9.46699868286088e-10,1.33039676142701e-09,1.24633160724575e-09,1.08534188829242e-09,4.17536980574135e-10,1.39420753741792e-10,6.86247096043233e-12,7.14245807981858e-10,1.04385985287445e-09,4.53470788164634e-11,8.55727645412995e-10,6.36462130193272e-11,0,1.58300163806136e-10,8.21912404793409e-06,4.5993416332529e-11,3.300104141717e-10,1.006542689182e-10,1.42047850836269e-10,3.97576268729942e-11,3.43403523882437e-10,0.834538606240879,6.22787690189417e-10,8.60078231448924e-11,1.20350326112269e-11,0.15824174644522,0.000215213450262667,1,0.25
30,432,5.41924868756987e-11,0.983959120661603,4.5904383968437e-10,4.49854546787337e-07,4.18538405664995e-08,1.10034167762575e-09,1.66049847561804e-10,6.29894709404609e-10,7.31794142149273e-10,8.95546177707522e-10,5.27409232367558e-10,2.67417828086288e-10,2.26292586644014e-11,8.02915689264501e-12,5.83725209176041e-10,7.41084371271627e-10,3.54932730327346e-11,5.18074019052756e-10,2.77072492580877e-11,0,9.56178043482023e-11,2.80567015649006e-07,7.77473467357301e-11,1.98078230905028e-10,2.38324346876646e-11,4.34607618029641e-11,1.35054807361377e-10,1.92829520230136e-10,0.0156792609763626,2.53599345218386e-10,6.10361172429138e-11,9.78474621668902e-13,0.000171200681026078,0.000189637554937816,1,0.25
